section,reseau,type_verre,priorite,nom_verre,matiere,traitement,prix,photochromique_possible,supplement_photochromique,reference_affichee,prix_versailles,prix_lvdb,prix_autres
marche_libre,,progressifs,1,Varilux XR Pro,Orma,CZ EasyP,475,oui,50,Varilux XR Pro Orma EPS CZ EasyP,,,
marche_libre,,progressifs,1,Varilux XR Pro,Orma,CZ Sapph,514,oui,50,Varilux XR Pro Orma EPS CZ Sapph,,,
marche_libre,,progressifs,1,Varilux XR Pro,Ormix,CZ EasyP,510,oui,50,Varilux XR Pro Ormix EPS CZ EasyP,,,
marche_libre,,progressifs,1,Varilux XR Pro,Ormix,CZ Sapph,549,oui,50,Varilux XR Pro Ormix EPS CZ Sapph,,,
marche_libre,,progressifs,2,Varilux XR Design,Orma,CZ EasyP,395,oui,50,Varilux XR design Orma EPS Cz EasyP,,,
marche_libre,,progressifs,2,Varilux XR Design,Orma,CZ Sapph,434,oui,50,Varilux XR design Orma Cz Sapph,,,
marche_libre,,progressifs,2,Varilux XR Design,Ormix,CZ EasyP,430,oui,50,Varilux XR design Ormix EPS Cz EasyP,,,
marche_libre,,progressifs,2,Varilux XR Design,Ormix,CZ Sapph,469,oui,50,Varilux XR design Ormix Cz Sapph,,,
marche_libre,,progressifs,3,Varilux P exten Track,Orma,CZ EasyP,311,oui,50,Varilux P exten Track Orma EPS Cz EasyP,,,
marche_libre,,progressifs,3,Varilux P exten Track,Orma,CZ Sapph,350,oui,50,Varilux P exten Track Orma Cz Sapph,,,
marche_libre,,progressifs,3,Varilux P exten Track,Ormix,CZ EasyP,346,oui,50,Varilux P exten Track Ormix EPS Cz EasyP,,,
marche_libre,,progressifs,3,Varilux P exten Track,Ormix,CZ Sapph,385,oui,50,Varilux P exten Track Ormix Cz Sapph,,,
marche_libre,,progressifs,4,Varilux Liberty 3,Orma,CZ EasyP,239,oui,50,Varilux Liberty 3 Orma Cz EasyP,,,
marche_libre,,progressifs,4,Varilux Liberty 3,Orma,CZ Sapph,279,oui,50,Varilux Liberty 3 Orma Cz Sapph,,,
marche_libre,,progressifs,4,Varilux Liberty 3,Ormix,CZ EasyP,275,oui,50,Varilux Liberty 3 Ormix Cz EasyP,,,
marche_libre,,progressifs,4,Varilux Liberty 3,Ormix,CZ Sapph,298,oui,50,Varilux Liberty 3 Ormix Cz Sapph,,,
marche_libre,,progressifs,5,Essilor Inizio,Orma,CZ EasyP,221,oui,50,Essilor Inizio Orma Cz EasyP,,,
marche_libre,,progressifs,5,Essilor Inizio,Orma,CZ Sapph,260,oui,50,Essilor Inizio Orma Cz Sapph,,,
marche_libre,,progressifs,5,Essilor Inizio,Ormix,CZ EasyP,256,oui,50,Essilor Inizio Ormix Cz EasyP,,,
marche_libre,,progressifs,5,Essilor Inizio,Ormix,CZ Sapph,295,oui,50,Essilor Inizio Ormix Cz Sapph,,,
marche_libre,,progressifs,6,Essilor Prems,Ormix,CZ EasyP,186,oui,50,Essilor Prems HD Ormix Cz EasyP,,,
marche_libre,,progressifs,6,Essilor Prems,Ormix,CZ Sapph,186,oui,50,Essilor Prems HD Ormix Cz Sapph,,,
marche_libre,,progressifs,7,Essilor Prelude,Ormix,CZ EasyP,169,oui,50,Essilor Prelude Ormix Cz EasyP,,,
